"",""
"FuncText0","那你倒是说啊"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Btn_Cmn_Text_S_Main","亡者管理"
"Btn_Cmn_Text_S_Sub","DEAD    MANAGEMENT"
"",""
"Btn_Cmn_Text_S_Main","确认道具"
"Btn_Cmn_Text_S_Sub","TOOL    STOCK   CHECK"
"Btn_Cmn_Text_S_Main","加载"
"Btn_Cmn_Text_S_Sub","LOAD    GAME"
"Btn_Cmn_Text_S_Main","员工管理"
"Btn_Cmn_Text_S_Sub","STAFF    MANAGEMENT"
"",""
"Btn_Cmn_Text_S_Main","保存"
"Btn_Cmn_Text_S_Sub","SAVE    GAME"
"Title_L01_Text_Main","公司事务所"
"Title_L02_Text_Main","公司事务所"
"Title_L03_Text_Main","公司事务所"
"Title_L_Text_Sub","COMPANY  OFFICE"
